2023-05-07 19:49:35.319186: iter: [2/40], train_loss: 0.135746, valid_loss: 0.163394
2023-05-07 19:58:02.198118: iter: [3/40], train_loss: 0.121516, valid_loss: 0.139610
2023-05-07 20:06:15.963479: iter: [4/40], train_loss: 0.103286, valid_loss: 0.123158
2023-05-07 20:14:29.240409: iter: [5/40], train_loss: 0.090722, valid_loss: 0.114352
2023-05-07 20:22:42.483144: iter: [6/40], train_loss: 0.082860, valid_loss: 0.111797
2023-05-07 20:31:08.912134: iter: [7/40], train_loss: 0.075724, valid_loss: 0.117901
2023-05-07 20:39:43.430002: iter: [8/40], train_loss: 0.070452, valid_loss: 0.108887
2023-05-07 20:48:04.998611: iter: [9/40], train_loss: 0.067376, valid_loss: 0.111765
2023-05-07 20:56:21.748164: iter: [10/40], train_loss: 0.063409, valid_loss: 0.142050
2023-05-07 21:04:52.212198: iter: [11/40], train_loss: 0.061951, valid_loss: 0.130954
2023-05-07 21:45:38.343271: iter: [12/40], train_loss: 0.060214, valid_loss: 0.180689
2023-05-07 22:49:47.584299: iter: [13/40], train_loss: 0.057906, valid_loss: 0.153178
2023-05-08 21:17:54.492482: iter: [1/30], train_loss: 0.425045, valid_loss: 0.326533
2023-05-08 22:45:20.312826: iter: [2/30], train_loss: 0.262195, valid_loss: 0.229382
2023-05-09 00:03:59.457185: iter: [3/30], train_loss: 0.156722, valid_loss: 0.148257
2023-05-09 01:22:02.781510: iter: [4/30], train_loss: 0.051470, valid_loss: 0.067479
2023-05-09 02:40:03.215567: iter: [5/30], train_loss: -0.112688, valid_loss: -0.046533
2023-05-09 03:58:09.502842: iter: [6/30], train_loss: -0.276903, valid_loss: -0.157597
2023-05-09 05:16:33.673347: iter: [7/30], train_loss: -0.449944, valid_loss: -0.158443
2023-05-09 06:41:46.601394: iter: [8/30], train_loss: -0.619970, valid_loss: -0.051184
2023-05-09 08:07:06.669989: iter: [9/30], train_loss: -0.804107, valid_loss: 0.237007
2023-05-09 09:32:14.570182: iter: [10/30], train_loss: -0.990116, valid_loss: 0.652473
2023-05-09 10:57:28.869897: iter: [11/30], train_loss: -1.168064, valid_loss: 0.358577
